target_id,t_sim,x,y,z
CUBE_3,42.664,23.202208,1.751060,-34.713455
CUBE_1,42.678,-119.999992,0.000000,-2.048423
CUBE_3,42.910,27.127970,1.751060,-34.713455
CUBE_1,42.924,-119.999992,0.000000,-0.575026
CUBE_3,43.179,31.431723,1.751060,-34.713455
CUBE_1,43.181,-119.999992,0.000000,0.966667
CUBE_3,43.405,35.062424,1.751060,-34.713455
CUBE_1,43.408,-119.999992,0.000000,2.328297
CUBE_3,43.623,38.547127,1.751060,-34.713455
CUBE_1,43.631,-119.999992,0.000000,3.668738
CUBE_3,43.863,42.382927,1.751060,-34.713455
CUBE_1,43.865,-119.999992,0.000000,5.073649
CUBE_3,44.209,47.906250,1.857432,-34.713455
CUBE_1,44.211,-119.999992,0.000000,7.147260
CUBE_3,44.428,51.370953,2.376626,-34.713455
CUBE_1,44.430,-119.999992,0.000000,8.461493
CUBE_3,44.658,55.009327,2.921844,-34.713455
CUBE_1,44.660,-119.999992,0.000000,9.841784
CUBE_3,44.874,58.438339,3.435690,-34.713455
CUBE_1,44.880,-119.999992,0.000000,11.164763
CUBE_3,45.092,61.884441,3.952085,-34.713455
CUBE_1,45.094,-119.999992,0.000000,12.448111
CUBE_3,45.316,65.428314,4.483127,-34.713455
CUBE_1,45.318,-119.999992,0.000000,13.791324
CUBE_3,45.544,69.032509,5.023231,-34.713455
CUBE_1,45.546,-119.999992,0.000000,15.158957
CUBE_3,45.780,72.770424,5.583371,-34.713455
CUBE_1,45.792,-119.999992,0.000000,16.633398
CUBE_3,46.003,76.296410,6.111757,-34.713455
CUBE_1,46.009,-119.999992,0.000000,17.936815
CUBE_3,46.239,80.029205,6.671132,-34.713455
CUBE_1,46.243,-119.999992,0.000000,19.340900
CUBE_3,46.488,83.965714,7.261023,-34.713455
CUBE_1,46.571,-119.999992,0.000000,21.311703
CUBE_3,46.792,88.782509,7.982838,-34.713455
CUBE_1,46.804,-119.999992,0.000000,22.709064
CUBE_3,47.016,92.334396,8.515604,-34.713455
CUBE_1,47.018,-119.999992,0.000000,23.993952
CUBE_3,47.257,96.134758,9.085662,-34.713455
CUBE_1,47.259,-119.999992,0.000000,25.436131
CUBE_3,47.521,100.325089,9.714205,-34.713455
CUBE_1,47.533,-119.999992,0.000000,27.082397
CUBE_3,47.743,103.825508,10.239273,-34.713455
CUBE_1,47.745,-119.999992,0.000000,28.351236
CUBE_3,47.958,107.227600,10.749585,-34.713455
CUBE_1,48.023,-119.999992,0.000000,30.018404
CUBE_3,48.294,112.552452,11.548314,-34.713455
CUBE_1,48.296,-119.999992,0.000000,31.661320
CUBE_3,48.511,115.986328,12.063396,-34.713455
CUBE_1,48.513,-119.999992,0.000000,32.962948
CUBE_3,48.764,119.983574,12.662975,-34.713455
CUBE_1,48.766,-119.999992,0.000000,34.478767
CUBE_3,49.021,124.053162,13.273409,-34.713455
CUBE_1,49.027,-119.999992,0.000000,36.045410
CUBE_3,49.235,127.433945,13.780571,-34.713455
CUBE_1,49.237,-119.999992,0.000000,37.305199
CUBE_3,49.448,130.807281,14.286531,-34.713455
CUBE_1,49.456,-119.999992,0.000000,38.617645
CUBE_3,49.667,134.278183,14.807125,-34.713455
CUBE_1,49.669,-119.999992,0.000000,39.899632
CUBE_3,49.889,137.786789,15.333361,-34.713455
CUBE_1,49.899,-119.999992,0.000000,41.275837
CUBE_3,50.134,141.668625,15.915604,-34.713455
CUBE_1,50.137,-119.999992,0.000000,42.702343
CUBE_3,50.354,145.145706,16.437178,-34.713455
CUBE_1,50.356,-119.999992,0.000000,44.020367
CUBE_3,50.639,149.653519,17.113356,-34.713455
CUBE_1,50.649,-119.999992,0.000000,45.776340
CUBE_3,50.900,153.778076,17.732050,-34.713455
CUBE_1,50.902,-119.999992,0.000000,47.293381
CUBE_3,51.219,158.826950,18.489414,-34.713455
CUBE_1,51.231,-119.999992,0.000000,49.267784
CUBE_3,51.470,162.808868,19.086716,-34.713455
CUBE_1,51.476,-119.999992,0.000000,50.741142
CUBE_3,51.687,166.239136,19.601278,-34.713455
CUBE_1,51.691,-119.999992,0.000000,52.029877
CUBE_3,54.063,201.869370,24.945816,-36.233994
CUBE_1,54.175,-119.999992,0.000000,65.157356
CUBE_3,54.385,201.856247,24.943848,-41.241066
CUBE_1,54.387,-119.999992,0.000000,63.951817
CUBE_3,54.599,201.856247,24.943848,-44.475567
